#1
char Aclass(3,11)
Atrajectory
1.1

char name(7,6)
time
h
der(h)
v
der(v)
g
e

char description(7,31)
Time in [s]
height, used as state
velocity of ball
velocity of ball, used as state
acceleration of ball
acceleration of gravity
dimensionless parameter

int dataInfo(7,4)
0 1 0 -1 # time
2 2 0 -1 # h
2 3 0 -1 # der(h)
2 4 0 -1 # v
2 5 0 -1 # der(v)
1 2 0 -1 # g
2 6 0 -1 # e
 5.80000000000000E-01 3.09638907999998E-01 1.88155800000000E+00 1.88155800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 6.00000000000000E-01 3.45504267999998E-01 1.68535800000000E+00 1.68535800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 6.20000000000000E-01 3.77445627999998E-01 1.48915800000000E+00 1.48915800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 6.40000000000000E-01 4.05462987999998E-01 1.29295800000000E+00 1.29295800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 6.60000000000000E-01 4.29556347999998E-01 1.09675800000000E+00 1.09675800000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 6.80000000000000E-01 4.49725707999998E-01 9.00557999999999E-01 9.00557999999999E-01 -9.81000000000000E+00 7.00000000000000E-01
 7.00000000000000E-01 4.65971067999998E-01 7.04357999999999E-01 7.04357999999999E-01 -9.81000000000000E+00 7.00000000000000E-01
 7.20000000000000E-01 4.78292427999998E-01 5.08158000000000E-01 5.08158000000000E-01 -9.81000000000000E+00 7.00000000000000E-01
 7.40000000000000E-01 4.86689787999998E-01 3.11957999999999E-01 3.11957999999999E-01 -9.81000000000000E+00 7.00000000000000E-01
 7.60000000000000E-01 4.91163147999998E-01 1.15757999999999E-01 1.15757999999999E-01 -9.81000000000000E+00 7.00000000000000E-01
 7.80000000000000E-01 4.91712507999998E-01 -8.04420000000007E-02 -8.04420000000007E-02 -9.81000000000000E+00 7.00000000000000E-01
 8.00000000000000E-01 4.88337867999998E-01 -2.76642000000001E-01 -2.76642000000001E-01 -9.81000000000000E+00 7.00000000000000E-01
 8.20000000000000E-01 4.81039227999998E-01 -4.72842000000001E-01 -4.72842000000001E-01 -9.81000000000000E+00 7.00000000000000E-01
 8.40000000000000E-01 4.69816587999998E-01 -6.69042000000001E-01 -6.69042000000001E-01 -9.81000000000000E+00 7.00000000000000E-01
 8.60000000000000E-01 4.54669947999998E-01 -8.65242000000001E-01 -8.65242000000001E-01 -9.81000000000000E+00 7.00000000000000E-01
 8.80000000000000E-01 4.35599307999998E-01 -1.06144200000000E+00 -1.06144200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 9.00000000000000E-01 4.12604667999998E-01 -1.25764200000000E+00 -1.25764200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 9.20000000000000E-01 3.85686027999998E-01 -1.45384200000000E+00 -1.45384200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 9.40000000000000E-01 3.54843387999998E-01 -1.65004200000000E+00 -1.65004200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 9.60000000000000E-01 3.20076747999998E-01 -1.84624200000000E+00 -1.84624200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 9.80000000000000E-01 2.81386107999998E-01 -2.04244200000000E+00 -2.04244200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.00000000000000E+00 2.38771467999998E-01 -2.23864200000000E+00 -2.23864200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.02000000000000E+00 1.92232827999998E-01 -2.43484200000000E+00 -2.43484200000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.04000000000000E+00 1.41770187999998E-01 -2.63104200000001E+00 -2.63104200000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.06000000000000E+00 8.73835479999974E-02 -2.82724200000001E+00 -2.82724200000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.08000000000000E+00 2.90729079999972E-02 -3.02344200000001E+00 -3.02344200000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.10000000000000E+00 1.99044819999972E-02 2.08697940000001E+00 2.08697940000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.12000000000000E+00 5.98782699999973E-02 1.89077940000001E+00 1.89077940000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.14000000000000E+00 9.59280579999974E-02 1.69457940000001E+00 1.69457940000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.16000000000000E+00 1.28053845999998E-01 1.49837940000001E+00 1.49837940000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.18000000000000E+00 1.56255633999998E-01 1.30217940000001E+00 1.30217940000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.20000000000000E+00 1.80533421999998E-01 1.10597940000001E+00 1.10597940000001E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.22000000000000E+00 2.00887209999998E-01 9.09779400000007E-01 9.09779400000007E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.24000000000000E+00 2.17316997999998E-01 7.13579400000007E-01 7.13579400000007E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.26000000000000E+00 2.29822785999998E-01 5.17379400000007E-01 5.17379400000007E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.28000000000000E+00 2.38404573999998E-01 3.21179400000007E-01 3.21179400000007E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.30000000000000E+00 2.43062361999998E-01 1.24979400000007E-01 1.24979400000007E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.32000000000000E+00 2.43796149999999E-01 -7.12205999999930E-02 -7.12205999999930E-02 -9.81000000000000E+00 7.00000000000000E-01
 1.34000000000000E+00 2.40605937999999E-01 -2.67420599999993E-01 -2.67420599999993E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.36000000000000E+00 2.33491725999999E-01 -4.63620599999993E-01 -4.63620599999993E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.38000000000000E+00 2.22453513999999E-01 -6.59820599999993E-01 -6.59820599999993E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.40000000000000E+00 2.07491301999999E-01 -8.56020599999993E-01 -8.56020599999993E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.42000000000000E+00 1.88605089999999E-01 -1.05222059999999E+00 -1.05222059999999E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.44000000000000E+00 1.65794877999999E-01 -1.24842059999999E+00 -1.24842059999999E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.46000000000000E+00 1.39060666000000E-01 -1.44462059999999E+00 -1.44462059999999E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.48000000000000E+00 1.08402454000000E-01 -1.64082059999999E+00 -1.64082059999999E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.50000000000000E+00 7.38202419999999E-02 -1.83702059999999E+00 -1.83702059999999E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.52000000000000E+00 3.53140300000001E-02 -2.03322059999999E+00 -2.03322059999999E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.54000000000000E+00 3.97140040000228E-04 1.52724042000000E+00 1.52724042000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.56000000000000E+00 2.91761484400001E-02 1.33104042000000E+00 1.33104042000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.58000000000000E+00 5.40311568400001E-02 1.13484042000000E+00 1.13484042000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.60000000000000E+00 7.49621652400000E-02 9.38640419999996E-01 9.38640419999996E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.62000000000000E+00 9.19691736399999E-02 7.42440419999996E-01 7.42440419999996E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.64000000000000E+00 1.05052182040000E-01 5.46240419999997E-01 5.46240419999997E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.66000000000000E+00 1.14211190440000E-01 3.50040419999996E-01 3.50040419999996E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.68000000000000E+00 1.19446198840000E-01 1.53840419999996E-01 1.53840419999996E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.70000000000000E+00 1.20757207240000E-01 -4.23595800000037E-02 -4.23595800000037E-02 -9.81000000000000E+00 7.00000000000000E-01
 1.72000000000000E+00 1.18144215640000E-01 -2.38559580000004E-01 -2.38559580000004E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.74000000000000E+00 1.11607224039999E-01 -4.34759580000004E-01 -4.34759580000004E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.76000000000000E+00 1.01146232439999E-01 -6.30959580000004E-01 -6.30959580000004E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.78000000000000E+00 8.67612408399993E-02 -8.27159580000004E-01 -8.27159580000004E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.80000000000000E+00 6.84522492399992E-02 -1.02335958000000E+00 -1.02335958000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.82000000000000E+00 4.62192576399992E-02 -1.21955958000000E+00 -1.21955958000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.84000000000000E+00 2.00622660399991E-02 -1.41575958000000E+00 -1.41575958000000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.86000000000000E+00 5.82289015599910E-03 1.02830970600000E+00 1.02830970600000E+00 -9.81000000000000E+00 7.00000000000000E-01
 1.88000000000000E+00 2.46232842759991E-02 8.32109706000002E-01 8.32109706000002E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.90000000000000E+00 3.94996783959992E-02 6.35909706000002E-01 6.35909706000002E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.92000000000000E+00 5.04520725159992E-02 4.39709706000002E-01 4.39709706000002E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.94000000000000E+00 5.74804666359993E-02 2.43509706000002E-01 2.43509706000002E-01 -9.81000000000000E+00 7.00000000000000E-01
 1.96000000000000E+00 6.05848607559993E-02 4.73097060000021E-02 4.73097060000021E-02 -9.81000000000000E+00 7.00000000000000E-01
 1.98000000000000E+00 5.97652548759994E-02 -1.48890293999998E-01 -1.48890293999998E-01 -9.81000000000000E+00 7.00000000000000E-01
